"","cell_id","new_clusters"
"857","cell_1594","6"
"858","cell_1595","6"
"859","cell_1596","6"
"860","cell_1597","5"
"861","cell_1599","1"
"862","cell_1600","3"
"863","cell_1602","6"
"864","cell_1606","7"
"865","cell_1608","4"
"866","cell_1614","1"
"867","cell_1615","1"
"868","cell_1616","6"
"869","cell_1617","4"
"870","cell_1619","6"
"871","cell_1620","6"
"872","cell_1621","4"
"873","cell_1626","5"
"874","cell_1629","6"
"875","cell_1631","5"
"876","cell_1632","4"
"877","cell_1633","6"
"878","cell_1635","6"
"879","cell_1637","4"
"880","cell_1638","4"
"881","cell_1639","1"
"882","cell_1641","1"
"883","cell_1643","5"
"884","cell_1646","1"
"885","cell_1647","4"
"886","cell_1648","1"
"887","cell_1649","4"
"888","cell_1650","4"
"889","cell_1651","1"
"890","cell_1652","4"
"891","cell_1657","6"
"892","cell_1658","3"
"893","cell_1660","7"
"894","cell_1661","1"
"895","cell_1662","4"
"896","cell_1663","4"
"897","cell_1666","1"
"898","cell_1667","6"
"899","cell_1668","6"
"900","cell_1670","6"
"901","cell_1672","6"
"902","cell_1674","1"
"903","cell_1677","4"
"904","cell_1678","4"
"905","cell_1682","5"
"906","cell_1683","6"
"907","cell_1687","4"
"908","cell_1689","1"
"909","cell_1698","5"
"910","cell_1700","6"
"911","cell_1704","6"
"912","cell_1706","1"
"913","cell_1709","5"
"914","cell_1715","5"
"915","cell_1716","5"
"916","cell_1717","4"
"917","cell_1719","5"
"918","cell_1720","3"
"919","cell_1722","4"
"920","cell_1724","3"
"921","cell_1725","3"
"922","cell_1726","3"
"923","cell_1727","5"
"924","cell_1728","1"
"925","cell_1730","5"
"926","cell_1732","3"
"927","cell_1733","1"
"928","cell_1735","3"
"929","cell_1736","1"
"930","cell_1737","4"
"931","cell_1743","3"
"932","cell_1744","4"
"933","cell_1746","1"
"934","cell_1748","3"
"935","cell_1749","3"
"936","cell_1750","3"
"937","cell_1752","3"
"938","cell_1754","1"
"939","cell_1757","3"
"940","cell_1758","4"
"941","cell_1759","4"
"942","cell_1763","3"
"943","cell_1767","4"
"944","cell_1768","4"
"945","cell_1770","1"
"946","cell_1771","4"
"947","cell_1772","4"
"948","cell_1774","3"
"949","cell_1775","6"
"950","cell_1778","1"
"951","cell_1779","3"
"952","cell_1780","3"
"953","cell_1783","1"
"954","cell_1786","5"
"955","cell_1787","3"
"956","cell_1788","1"
"957","cell_1789","1"
"958","cell_1790","5"
"959","cell_1791","3"
"960","cell_1792","1"
"961","cell_1793","3"
"962","cell_1794","5"
"963","cell_1798","3"
"964","cell_1800","5"
"965","cell_1802","5"
"966","cell_1803","4"
"967","cell_1804","1"
"968","cell_1805","1"
"969","cell_1806","4"
"970","cell_1807","4"
"971","cell_1808","1"
"972","cell_1810","1"
"973","cell_1812","6"
"974","cell_1815","7"
"975","cell_1817","3"
"976","cell_1818","3"
"977","cell_1821","4"
"978","cell_1822","1"
"979","cell_1823","4"
"980","cell_1828","1"
"981","cell_1834","3"
"982","cell_1835","3"
"983","cell_1836","3"
"984","cell_1841","3"
"985","cell_1844","4"
"986","cell_1847","5"
"987","cell_1848","4"
"988","cell_1849","6"
"989","cell_1850","1"
"990","cell_1852","5"
"991","cell_1853","3"
"992","cell_1854","1"
"993","cell_1855","4"
"994","cell_1857","1"
"995","cell_1858","4"
"996","cell_1860","5"
"997","cell_1863","1"
"998","cell_1864","3"
"999","cell_1865","7"
"1000","cell_1866","3"
"1001","cell_1868","4"
"1002","cell_1871","3"
"1003","cell_1872","3"
"1004","cell_1875","3"
"1005","cell_1877","1"
"1006","cell_1878","5"
"1007","cell_1880","4"
"1008","cell_1882","1"
"1009","cell_1886","3"
"1010","cell_1887","3"
"1011","cell_1888","3"
"1012","cell_1897","4"
"1013","cell_1901","3"
"1014","cell_1903","3"
"1015","cell_1904","3"
"1016","cell_1907","3"
"1017","cell_1909","3"
"1018","cell_1913","3"
"1019","cell_1914","3"
"1020","cell_1917","1"
"1021","cell_1919","3"
"1022","cell_1920","3"
"1023","cell_1923","1"
"1024","cell_1924","6"
"1025","cell_1925","3"
"1026","cell_1926","3"
"1027","cell_1927","3"
"1028","cell_1928","3"
"1029","cell_1930","3"
"1030","cell_1932","3"
"1031","cell_1933","3"
"1032","cell_1935","3"
"1033","cell_1940","3"
"1034","cell_1941","3"
"1035","cell_1943","3"
"1036","cell_1944","3"
"1037","cell_1946","3"
"1038","cell_1947","3"
"1039","cell_1952","3"
"1040","cell_1956","3"
"1041","cell_1957","3"
"1042","cell_1959","3"
"1043","cell_1960","3"
"1044","cell_1961","4"
"1045","cell_1964","2"
"1046","cell_1965","3"
"1047","cell_1967","3"
"1048","cell_1969","4"
"1049","cell_1970","2"
"1050","cell_1971","3"
"1051","cell_1975","3"
"1052","cell_1978","3"
"1053","cell_1979","3"
"1054","cell_1981","4"
"1055","cell_1983","3"
"1056","cell_1984","4"
"1057","cell_1989","3"
"1058","cell_1991","3"
"1059","cell_1994","3"
"1060","cell_1998","3"
"1061","cell_1999","3"
"1062","cell_2000","1"
"1063","cell_2003","3"
"1064","cell_2005","3"
"1065","cell_2006","3"
"1066","cell_2007","4"
"1067","cell_2010","4"
"1068","cell_2013","3"
"1069","cell_2014","3"
"1070","cell_2017","2"
"1071","cell_2023","4"
"1072","cell_2025","3"
"1073","cell_2026","3"
"1074","cell_2027","3"
"1075","cell_2035","3"
"1076","cell_2039","3"
"1077","cell_2040","3"
"1078","cell_2051","4"
"1079","cell_2058","2"
"1080","cell_2059","4"
"1081","cell_2062","3"
"1082","cell_2063","3"
"1083","cell_2064","3"
"1084","cell_2065","4"
"1085","cell_2066","4"
"1086","cell_2067","3"
"1087","cell_2070","3"
"1088","cell_2071","3"
"1089","cell_2072","1"
"1090","cell_2073","4"
"1091","cell_2074","3"
"1092","cell_2076","3"
"1093","cell_2077","3"
"1094","cell_2079","3"
"1095","cell_2080","3"
"1096","cell_2081","4"
"1097","cell_2082","3"
"1098","cell_2084","3"
"1099","cell_2086","3"
"1100","cell_2087","3"
"1101","cell_2089","7"
"1102","cell_2090","3"
"1103","cell_2092","3"
"1104","cell_2094","3"
"1105","cell_2096","4"
"1106","cell_2097","4"
"1107","cell_2100","3"
"1108","cell_2105","1"
"1109","cell_2106","3"
"1110","cell_2108","3"
"1111","cell_2109","4"
"1112","cell_2110","2"
"1113","cell_2112","3"
"1114","cell_2114","3"
"1115","cell_2118","3"
"1116","cell_2119","3"
"1117","cell_2120","3"
"1118","cell_2122","3"
"1119","cell_2123","3"
"1120","cell_2125","3"
"1121","cell_2127","1"
"1122","cell_2128","5"
"1123","cell_2129","3"
"1124","cell_2131","7"
"1125","cell_2135","3"
"1126","cell_2136","4"
"1127","cell_2137","7"
"1128","cell_2138","3"
"1129","cell_2139","4"
"1130","cell_2140","3"
"1131","cell_2141","3"
"1132","cell_2142","1"
"1133","cell_2143","4"
"1134","cell_2145","3"
"1135","cell_2146","1"
"1136","cell_2150","1"
"1137","cell_2151","5"
"1138","cell_2156","3"
"1139","cell_2158","3"
"1140","cell_2160","6"
"1141","cell_2162","3"
"1142","cell_2164","3"
"1143","cell_2165","7"
"1144","cell_2166","7"
"1145","cell_2167","3"
"1146","cell_2168","3"
"1147","cell_2177","3"
"1148","cell_2178","3"
"1149","cell_2181","3"
"1150","cell_2183","3"
"1151","cell_2184","3"
"1152","cell_2185","4"
"1153","cell_2191","1"
"1154","cell_2196","1"
"1155","cell_2198","3"
"1156","cell_2199","3"
"1157","cell_2201","3"
"1158","cell_2202","1"
"1159","cell_2204","4"
"1160","cell_2206","3"
"1161","cell_2209","2"
"1162","cell_2210","5"
"1163","cell_2211","5"
